generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
144,340,1.8181818181818182e-05,2e-05,1.99e-05,4.145095678247883e-07
145,343,1.8181818181818182e-05,2e-05,1.9863636363636363e-05,4.788933524024858e-07
146,332,1.8181818181818182e-05,2e-05,1.9854545454545453e-05,4.932603624092383e-07
147,340,1.8181818181818182e-05,2e-05,1.986818181818182e-05,4.7147999791053715e-07
148,329,1.8181818181818182e-05,2e-05,1.9872727272727273e-05,4.6390366626085097e-07
149,323,1.8181818181818182e-05,2e-05,1.99e-05,4.145095678247883e-07
150,346,1.8181818181818182e-05,2e-05,1.99e-05,4.145095678247883e-07
151,334,1.8181818181818182e-05,2e-05,1.9886363636363638e-05,4.401117438871633e-07
152,339,1.8181818181818182e-05,2e-05,1.987727272727273e-05,4.5615623682752565e-07
153,340,1.8181818181818182e-05,2e-05,1.9881818181818183e-05,4.4822883765895627e-07
154,339,1.8181818181818182e-05,2e-05,1.987727272727273e-05,4.5615623682752565e-07
155,337,1.8181818181818182e-05,2e-05,1.9854545454545453e-05,4.932603624092383e-07
156,348,1.8181818181818182e-05,2e-05,1.9845454545454546e-05,5.070576279049159e-07
157,347,1.8181818181818182e-05,2e-05,1.9827272727272727e-05,5.331180695053991e-07
158,346,1.8181818181818182e-05,2e-05,1.979090909090909e-05,5.80039896034624e-07
159,332,1.8181818181818182e-05,2e-05,1.978636363636364e-05,5.854820716284188e-07
160,340,1.8181818181818182e-05,2e-05,1.978181818181818e-05,5.908391567008893e-07
161,336,1.8181818181818182e-05,2e-05,1.9754545454545454e-05,6.213155863579484e-07
162,336,1.8181818181818182e-05,2e-05,1.9754545454545454e-05,6.213155863579484e-07
163,330,1.8181818181818182e-05,2e-05,1.9759090909090912e-05,6.164246416577432e-07
164,362,1.8181818181818182e-05,2e-05,1.9750000000000002e-05,6.261353324525473e-07
165,344,1.8181818181818182e-05,2e-05,1.98e-05,5.688904671695721e-07
166,350,1.8181818181818182e-05,2e-05,1.9818181818181817e-05,5.45454545454608e-07
167,354,1.8181818181818182e-05,2e-05,1.986818181818182e-05,4.7147999791053715e-07
168,342,1.8181818181818182e-05,2e-05,1.991818181818182e-05,3.769165898477532e-07
169,349,1.8181818181818182e-05,2e-05,1.9940909090909094e-05,3.2240701138727167e-07
170,364,1.8181818181818182e-05,2e-05,1.9931818181818184e-05,3.4542463985383645e-07
171,338,1.8181818181818182e-05,2e-05,1.9913636363636367e-05,3.867377867526894e-07
172,344,1.8181818181818182e-05,2e-05,1.990909090909091e-05,3.9626354032202266e-07
173,355,1.8181818181818182e-05,2e-05,1.9936363636363636e-05,3.3414501726363635e-07
174,345,1.8181818181818182e-05,2e-05,1.9940909090909094e-05,3.2240701138727167e-07
175,362,1.8181818181818182e-05,2e-05,1.9913636363636367e-05,3.867377867526894e-07
176,336,1.8181818181818182e-05,2e-05,1.9904545454545458e-05,4.0551467144883856e-07
177,322,1.8181818181818182e-05,2e-05,1.99e-05,4.145095678247883e-07
178,344,1.8181818181818182e-05,2e-05,1.991818181818182e-05,3.769165898477532e-07
179,337,1.8181818181818182e-05,2e-05,1.9913636363636367e-05,3.867377867526894e-07
180,340,1.8181818181818182e-05,2e-05,1.9936363636363636e-05,3.3414501726363635e-07
181,342,1.8181818181818182e-05,2e-05,1.9931818181818184e-05,3.4542463985383645e-07
182,338,1.8181818181818182e-05,2e-05,1.9931818181818184e-05,3.4542463985383645e-07
183,350,1.8181818181818182e-05,2e-05,1.9936363636363636e-05,3.3414501726363635e-07
184,321,1.8181818181818182e-05,2e-05,1.9895454545454548e-05,4.2326456568199883e-07
185,338,1.8181818181818182e-05,2e-05,1.991818181818182e-05,3.769165898477532e-07
186,329,1.8181818181818182e-05,2e-05,1.9913636363636367e-05,3.867377867526894e-07
187,334,1.8181818181818182e-05,2e-05,1.992727272727273e-05,3.562894171320553e-07
188,340,1.8181818181818182e-05,2e-05,1.9940909090909094e-05,3.2240701138727167e-07
189,346,1.8181818181818182e-05,2e-05,1.9940909090909094e-05,3.2240701138727167e-07
190,343,1.8181818181818182e-05,2e-05,1.9945454545454545e-05,3.101585838043084e-07
191,345,1.8181818181818182e-05,2e-05,1.996818181818182e-05,2.3840898258079026e-07
192,346,1.8181818181818182e-05,2e-05,1.9950000000000004e-05,2.9733666257125564e-07
193,344,1.8181818181818182e-05,2e-05,1.9922727272727274e-05,3.6677621704310884e-07
194,340,1.8181818181818182e-05,2e-05,1.9913636363636367e-05,3.867377867526894e-07
195,347,1.8181818181818182e-05,2e-05,1.9954545454545455e-05,2.8386354538183483e-07
196,330,1.8181818181818182e-05,2e-05,1.990909090909091e-05,3.9626354032202266e-07
197,341,1.8181818181818182e-05,2e-05,1.990909090909091e-05,3.9626354032202266e-07
198,331,1.8181818181818182e-05,2e-05,1.9881818181818183e-05,4.4822883765895627e-07
199,334,1.8181818181818182e-05,2e-05,1.9854545454545453e-05,4.932603624092383e-07
200,343,1.8181818181818182e-05,2e-05,1.9863636363636363e-05,4.788933524024858e-07
201,350,1.8181818181818182e-05,2e-05,1.9831818181818185e-05,5.26782687642541e-07
202,324,1.8181818181818182e-05,2e-05,1.9836363636363636e-05,5.203304735002089e-07
203,363,1.8181818181818182e-05,2e-05,1.985909090909091e-05,4.861511855447435e-07
204,349,1.8181818181818182e-05,2e-05,1.985909090909091e-05,4.861511855447435e-07
205,355,1.8181818181818182e-05,2e-05,1.9813636363636365e-05,5.514631177585357e-07
206,355,1.8181818181818182e-05,2e-05,1.9831818181818185e-05,5.26782687642541e-07
207,332,1.8181818181818182e-05,2e-05,1.9836363636363636e-05,5.203304735002089e-07
208,336,1.8181818181818182e-05,2e-05,1.9863636363636363e-05,4.788933524024858e-07
209,330,1.8181818181818182e-05,2e-05,1.9863636363636363e-05,4.788933524024858e-07
210,347,1.8181818181818182e-05,2e-05,1.9863636363636363e-05,4.788933524024858e-07
211,338,1.8181818181818182e-05,2e-05,1.9872727272727273e-05,4.6390366626085097e-07
212,334,1.8181818181818182e-05,2e-05,1.9890909090909093e-05,4.3179425771049766e-07
213,337,1.8181818181818182e-05,2e-05,1.985e-05,5.002272210978441e-07
214,336,1.8181818181818182e-05,2e-05,1.9818181818181817e-05,5.45454545454608e-07
215,332,1.8181818181818182e-05,2e-05,1.980909090909091e-05,5.573698565807012e-07
216,360,1.8181818181818182e-05,2e-05,1.98e-05,5.688904671695721e-07
217,356,1.8181818181818182e-05,2e-05,1.9845454545454546e-05,5.070576279049159e-07
218,341,1.8181818181818182e-05,2e-05,1.9845454545454546e-05,5.070576279049159e-07
219,338,1.8181818181818182e-05,2e-05,1.9863636363636363e-05,4.788933524024858e-07
220,340,1.8181818181818182e-05,2e-05,1.9890909090909093e-05,4.3179425771049766e-07
221,348,1.8181818181818182e-05,2e-05,1.9872727272727273e-05,4.6390366626085097e-07
222,349,1.8181818181818182e-05,2e-05,1.9836363636363636e-05,5.203304735002089e-07
223,344,1.8181818181818182e-05,2e-05,1.9895454545454548e-05,4.2326456568199883e-07
224,334,1.8181818181818182e-05,2e-05,1.9872727272727273e-05,4.6390366626085097e-07
225,344,1.8181818181818182e-05,2e-05,1.9845454545454546e-05,5.070576279049159e-07
226,350,1.8181818181818182e-05,2e-05,1.985909090909091e-05,4.861511855447435e-07
227,335,1.8181818181818182e-05,2e-05,1.980909090909091e-05,5.573698565807012e-07
228,324,1.8181818181818182e-05,2e-05,1.9827272727272727e-05,5.331180695053991e-07
229,342,1.8181818181818182e-05,2e-05,1.977727272727273e-05,5.961134453016272e-07
230,346,1.8181818181818182e-05,2e-05,1.9745454545454544e-05,6.308855117418822e-07
231,334,1.8181818181818182e-05,2e-05,1.9704545454545456e-05,6.707433892442941e-07
232,339,1.8181818181818182e-05,2e-05,1.9763636363636364e-05,6.114607898473117e-07
233,360,1.8181818181818182e-05,2e-05,1.9763636363636364e-05,6.114607898473117e-07
234,342,1.8181818181818182e-05,2e-05,1.985909090909091e-05,4.861511855447435e-07
235,336,1.8181818181818182e-05,2e-05,1.9886363636363638e-05,4.401117438871633e-07
236,347,1.8181818181818182e-05,2e-05,1.985909090909091e-05,4.861511855447435e-07
237,327,1.8181818181818182e-05,2e-05,1.9886363636363638e-05,4.401117438871633e-07
238,335,1.8181818181818182e-05,2e-05,1.9845454545454546e-05,5.070576279049159e-07
239,334,1.8181818181818182e-05,2e-05,1.9836363636363636e-05,5.203304735002089e-07
240,337,1.8181818181818182e-05,2e-05,1.9845454545454546e-05,5.070576279049159e-07
241,338,1.8181818181818182e-05,2e-05,1.9854545454545453e-05,4.932603624092383e-07
242,334,1.8181818181818182e-05,2e-05,1.9863636363636363e-05,4.788933524024858e-07
243,329,1.8181818181818182e-05,2e-05,1.9854545454545453e-05,4.932603624092383e-07
244,324,1.8181818181818182e-05,2e-05,1.9872727272727273e-05,4.6390366626085097e-07
245,336,1.8181818181818182e-05,2e-05,1.985909090909091e-05,4.861511855447435e-07
246,352,1.8181818181818182e-05,2e-05,1.9854545454545453e-05,4.932603624092383e-07
247,356,1.8181818181818182e-05,2e-05,1.9872727272727273e-05,4.6390366626085097e-07
248,356,1.8181818181818182e-05,2e-05,1.9863636363636363e-05,4.788933524024858e-07
249,337,1.8181818181818182e-05,2e-05,1.984090909090909e-05,5.137570252480762e-07
250,340,1.8181818181818182e-05,2e-05,1.9863636363636363e-05,4.788933524024858e-07
